x,y
0,0.10300177845409626
1,0.0984056041402523
2,0.10034960633625961
3,0.10229600995441558
4,0.10272788909972341
5,0.10304084607486544
6,0.09836469555226947
7,0.10146640899888452
8,0.10006845819747909
9,0.10098929157945587
10,0.10134734022053452
11,0.09824186758067316
12,0.10378033661081626
13,0.09974617569151
14,0.10202022587101166
15,0.10110878200765994
16,0.10280621765788212
17,0.10570164626401674
18,0.10661157679042385
19,0.10401276766704465
20,0.1064604617934326
21,0.1112305160260121
22,0.11169992136048651
23,0.11184395742465655
24,0.10844564752212076
25,0.1078501967759632
26,0.105663562441392
27,0.10268870241544437
28,0.10512894033596375
29,0.10397406524052634
30,0.10331390577093565
31,0.1021779079216332
32,0.10245326755679106
33,0.1014267349371532
34,0.10280621765788212
35,0.09848737033976894
36,0.09994772403946213
37,0.1015457106202112
38,0.10106896756153746
39,0.09938235864088334
40,0.10249254425654966
41,0.10046985755536042
42,0.10397406524052634
43,0.10026935873739053
44,0.09860989251487368
45,0.10030949056158593
46,0.09885448129700149
47,0.10280621765788212
48,0.10268870241544437
49,0.09954421926709094
50,0.09990744689737145
51,0.09942284850145129
52,0.10130761952913214
53,0.10086965960271807
54,0.10315796016389743
55,0.09667253969601752
56,0.09966544222972584
57,0.10213851023059017
58,0.09832376994386088
59,0.10114858078188678
60,0.10300177845409626
61,0.10245326755679106
62,0.1015457106202112
63,0.101901804210819
