x,y
0,0.10009544813021345
1,0.10087534654079387
2,0.10049215295621211
3,0.1009032308158456
4,0.10073181977157866
5,0.10088331426297688
6,0.10104253676461517
7,0.09993873811351058
8,0.10010347792831953
9,0.1005001510582548
10,0.10086339377737248
11,0.10100673358504741
12,0.10064800130376227
13,0.10214621104755826
14,0.10202810924942585
15,0.10273077155697487
16,0.10340145706429564
17,0.10440325640989394
18,0.10706017516129565
19,0.10802805066989772
20,0.11000036917036426
21,0.11011721994735096
22,0.1113078679605844
23,0.11013546668229324
24,0.10991996220471556
25,0.10786423632732646
26,0.10657859757146339
27,0.1060948340638345
28,0.10392483542270971
29,0.1031563050853623
30,0.1017441056108406
31,0.10181123347002018
32,0.10118165091844174
33,0.10128486917119622
34,0.10009544813021345
35,0.10166507491256208
36,0.10058409273231882
37,0.10076373227666298
38,0.10085143959732726
39,0.10028798583760427
40,0.10095897626153372
41,0.10076772062918596
42,0.10056411297471107
43,0.10077569686069639
44,0.10024389527596357
45,0.10062004629839708
46,0.10134437034293571
47,0.10078367246095109
48,0.10029199310933135
49,0.10088331426297688
50,0.10106242193922459
51,0.1004161392141739
52,0.10130867383347905
53,0.09967297525472925
54,0.10121342159225037
55,0.10089526466647733
56,0.10117767888275928
57,0.10015565592400673
58,0.10057210535405807
59,0.1013959097815517
60,0.1004161392141739
61,0.10126899628766808
62,0.100927125491355
63,0.1005361346434201
